Id;nombre;departamento
1;7 de Abril (Siete de Abril);1
2;Barrio San Jorge;1
3;El Chañar;1
4;El Naranjo;1
5;Garmendia;1
6;La Ramada;1
7;Macomitas;1
8;Piedrabuena;1
9;Villa Benjamín Aráoz;1
10;Villa Burruyacú;1
11;Villa Padre Monti;1
12;San Miguel de Tucumán (Est. Tucumán);2
13;Alpachiri;3
14;Alto Verde;3
15;Arcadia;3
16;Barrio San Roque;3
17;Concepción;3
18;Iltico;3
19;La Trinidad;3
20;Medinas;3
21;Alderetes;4
22;Banda del Río Salí;4
23;Colombres;4
24;Colonia Mayo - Barrio La Milagrosa;4
25;Delfín Gallo;4
26;El Bracho;4
27;La Florida;4
28;Las Cejas;4
29;Los Ralos;4
30;Pacará;4
31;Ranchillos;4
32;San Andrés;4
33;Barrio Casa Rosada;5
34;Campo de Herrera;5
35;Famaillá;5
36;Ingenio Fronterita;5
37;Graneros;6
38;Lamadrid;6
39;Taco Ralo;6
40;Juan Bautista Alberdi;7
41;Villa Belgrano;7
42;La Cocha;8
43;San José de La Cocha;8
44;Bella Vista;9
45;Estación Aráoz;9
46;Los Puestos;9
47;Manuel García Fernández;9
48;Pala Pala;9
49;Río Colorado;9
50;Santa Rosa de Leales;9
51;Villa de Leales;9
52;Villa Fiad (- Ingenio Leales);9
53;Barrio San Felipe;10
54;El Manantial;10
55;Ingenio San Pablo;10
56;La Reducción;10
57;Lules;10
58;Acheral;11
59;Capitán Cáceres;11
60;Monteros;11
61;Pueblo Independencia (Santa Rosa y Los Rojo);11
62;Río Seco;11
63;Santa Lucía;11
64;Sargento Moya;11
65;Soldado Maldonado;11
66;Teniente Berdina;11
67;Villa Quinteros;11
68;Aguilares;12
69;Los Sarmientos;12
70;Río Chico;12
71;Santa Ana;12
72;Villa Clodomiro Hileret ;12
73;Atahona;13
74;Monteagudo;13
75;Nueva Trinidad;13
76;Santa Cruz;13
77;Simoca;13
78;Villa Chicligasta;13
79;Amaicha del Valle;14
80;Colalao del Valle;14
81;El Mollar;14
82;Tafí del Valle;14
83;Barrio El Cruce;15
84;Barrio Lomas de Tafí;15
85;Barrio Mutual San Martín;15
86;Barrio Parada 14;15
87;Barrio U.T.A. II;15
88;Diagonal Norte (- Luz y Fuerza - Los Pocitos - Villa Nueva Italia);15
89;El Cadillal;15
90;Tafí Viejo;15
91;Villa Las Flores;15
92;Villa Mariano Moreno (- El Colmenar);15
93;Choromoro;16
94;San Pedro de Colalao;16
95;Villa de Trancas;16
96;Barrio San José III;17
97;Villa Carmela (Cebil Redondo);17
98;Yerba Buena (- Marcos Paz);17
99;Argentina;18
100;Casares;18
101;Malbrán;18
102;Villa General Mitre (Est. Pinto);18
103;Campo Gallo;19
104;Coronel Manuel L. Rico;19
105;Donadeu;19
106;Sacháyoj;19
107;Santos Lugares;19
108;Estación Atamisqui;20
109;Medellín;20
110;Villa Atamisqui;20
111;Colonia Dora;21
112;Herrera;21
113;Icaño;21
114;Lugones;21
115;Real Sayana;21
116;Villa Mailín;21
117;Abra Grande;22
118;Antajé;22
119;Ardiles;22
120;Cañada Escobar;22
121;Chaupi Pozo;22
122;Clodomira;22
123;Huyamampa;22
124;La Aurora;22
125;La Banda;22
126;La Dársena;22
127;Los Quiroga;22
128;Los Soria;22
129;Simbolar;22
130;Tramo 16;22
131;Tramo 20;22
132;Bandera;23
133;Cuatro Bocas;23
134;Fortín Inca;23
135;Guardia Escolta;23
136;El Deán;24
137;El Mojón;24
138;El Zanjón;24
139;Los Cardozos;24
140;Maco;24
141;Maquito;24
142;Morales;24
143;Puesto de San Antonio;24
144;San Pedro;24
145;Santa María;24
146;Santiago del Estero;24
147;Vuelta de la Barranca;24
148;Yanda;24
149;Ancaján;25
150;Choya;25
151;Estación La Punta;25
152;Frías;25
153;Laprida;25
154;San Pedro;25
155;Tapso;25
156;Villa La Punta;25
157;El Caburé;26
158;La Firmeza;26
159;Los Pirpintos;26
160;Los Tigres;26
161;Monte Quemado;26
162;Nueva Esperanza;26
163;Pampa de los Guanacos;26
164;San José del Boquerón;26
165;Urutaú;26
166;Bandera Bajada;27
167;Caspi Corral;27
168;Colonia San Juan;27
169;El Crucero;27
170;Kilómetro 30;27
171;La Cañada;27
172;La Invernada;27
173;Minerva;27
174;Vaca Huañuna;27
175;Villa Figueroa;27
176;Añatuya;28
177;Averías;28
178;Estación Tacañitas;28
179;La Nena;28
180;Los Juríes;28
181;Tomás Young;28
182;Lavalle;29
183;San Pedro;29
184;El Arenal;30
185;El Bobadal;30
186;El Charco;30
187;El Rincón;30
188;Gramilla;30
189;Isca Yacu;30
190;Isca Yacu Semaul;30
191;Pozo Hondo;30
192;San Pedro;30
193;El Colorado;31
194;El Cuadrado;31
195;Matará;31
196;Suncho Corral;31
197;Vilelas;31
198;Yuchán;31
199;Villa San Martín (Est. Loreto);32
200;Villa Unión;33
201;Aerolito;34
202;Alhuampa ;34
203;Hasse;34
204;Hernán Mejía Miraval;34
205;Las Tinajas;34
206;Libertad;34
207;Lilo Viejo;34
208;Patay;34
209;Pueblo Pablo Torelo (Est. Otumpa);34
210;Quimilí;34
211;Roversi;34
212;Tintina;34
213;Weisburd;34
214;El 49;35
215;Sol de Julio;35
216;Villa Ojo de Agua;35
217;El Mojón;36
218;Las Delicias;36
219;Nueva Esperanza;36
220;Pozo Betbeder;36
221;Rapelli;36
222;Santo Domingo;36
223;Ramírez de Velazco;37
224;Sumampa;37
225;Sumampa Viejo;37
226;Chañar Pozo de Abajo;38
227;Chauchillas;38
228;Colonia Tinco;38
229;El Charco;38
230;El Sauzal;38
231;Gramilla;38
232;La Nueva Donosa;38
233;Los Miranda;38
234;Los Núñez;38
235;Mansupa;38
236;Pozuelos;38
237;Rodeo de Valdez;38
238;Termas de Río Hondo;38
239;Villa Giménez;38
240;Villa Río Hondo;38
241;Villa Turística del Embalse;38
242;Vinará;38
243;Colonia Alpina;39
244;Palo Negro;39
245;Selva;39
246;Beltrán;40
247;Colonia El Simbolar;40
248;Fernández;40
249;Ingeniero Forres (Est. Chaguar Punco);40
250;Vilmer;40
251;Chilca Juliana;41
252;Los Telares;41
253;Villa Salavina ;41
254;Brea Pozo;42
255;Estación Robles;42
256;Estación Taboada;42
257;Villa Nueva;42
258;Garza;43
259;Árraga;44
260;Nueva Francia;44
261;Simbol;44
262;Sumamao;44
263;Villa Silípica;44
264;Apolinario Saravia;45
265;Ceibalito;45
266;Centro 25 de Junio;45
267;Coronel Mollinedo;45
268;Coronel Olleros;45
269;El Quebrachal;45
270;Gaona;45
271;General Pizarro;45
272;Joaquín V. González;45
273;Las Lajitas;45
274;Luis Burela;45
275;Macapillo;45
276;Nuestra Señora de Talavera;45
277;Piquete Cabado;45
278;Río del Valle;45
279;Tolloche;45
280;Cachi;46
281;Payogasta;46
282;Cafayate;47
283;Tolombóm;47
284;Atocha;48
285;La Ciénaga y Barrio San Rafael;48
286;Las Costas;48
287;Salta;48
288;Villa San Lorenzo;48
289;Cerrillos;49
290;La Merced;49
291;San Agustín;49
292;Villa Los Álamos (- El Congreso - Las Tunas);49
293;Barrio Finca la Maroma;50
294;Barrio la Rotonda;50
295;Barrio Santa Teresita;50
296;Chicoana;50
297;El Carril;50
298;Campo Santo;51
299;Cobos;51
300;El Bordo;51
301;General Güemes;51
302;Aguaray;52
303;Campamento Vespucio;52
304;Campichuelo;52
305;Campo Durán;52
306;Capiazuti;52
307;Carboncito;52
308;Coronel Cornejo;52
309;Dragones;52
310;Embarcación;52
311;General Ballivián;52
312;General Mosconi;52
313;Hickman;52
314;Misión Chaqueña;52
315;Misión El Cruce (- El Milagro - El Jardín de San Martín);52
316;Misión Kilómetro 6;52
317;Pacará;52
318;Padre Lozano;52
319;Piquirenda;52
320;Profesor Salvador Mazza;52
321;Tartagal;52
322;Tobantirenda;52
323;Tranquitas;52
324;Yacuy;52
325;Guachipas;53
326;Iruya;54
327;Isla de Cañas;54
328;Pueblo Viejo;54
329;La Caldera;55
330;Vaqueros;55
331;El Jardín;56
332;El Tala;56
333;La Candelaria;56
334;Cobres;57
335;La Poma;57
336;Ampascachi;58
337;Cabra Corral;58
338;Coronel Moldes;58
339;La Viña;58
340;Talapampa;58
341;Olacapato;59
342;San Antonio de los Cobres;59
343;Santa Rosa de los Pastos Grandes;59
344;Tolar Grande;59
345;El Galpón;60
346;El Tunal;60
347;Lumbreras;60
348;Metán Viejo;60
349;Río Piedras;60
350;San José de Metán;60
351;San José de Orquera ;60
352;La Puerta;61
353;Molinos;61
354;Seclantás;61
355;Aguas Blancas;62
356;Colonia Santa Rosa;62
357;El Tabacal;62
358;Hipólito Yrigoyen;62
359;Pichanal;62
360;San Ramón de la Nueva Orán;62
361;Urundel;62
362;Alto de la Sierra;63
363;Capitán Juan Pagé;63
364;Coronel Juan Solá;63
365;Hito 1;63
366;La Unión;63
367;Los Blancos;63
368;Pluma de Pato;63
369;Rivadavia;63
370;Santa María;63
371;Santa Rosa;63
372;Santa Victoria Este;63
373;Antilla;64
374;Copo Quile;64
375;El Naranjo;64
376;El Potrero (Apeadero Cochabamba);64
377;Rosario de la Frontera;64
378;San Felipe;64
379;Campo Quijano;65
380;La Merced del Encón;65
381;La Silleta;65
382;Rosario de Lerma;65
383;Angastaco;66
384;Animaná;66
385;El Barrial;66
386;San Carlos;66
387;Acoyte;67
388;Campo La Cruz;67
389;Los Toldos;67
390;Nazareno;67
391;Poscaya;67
392;San Marcos;67
393;Santa Victoria;67
394;Chuchucaruana;68
395;Colpes;68
396;El Bolsón;68
397;El Rodeo;68
398;Huaycama;68
399;La Puerta;68
400;Las Chacritas;68
401;Las Juntas;68
402;Los Castillos;68
403;Los Talas;68
404;Los Varela;68
405;Singuil;68
406;Ancasti;69
407;Anquincila;69
408;La Candelaria;69
409;La Majada;69
410;Amanao;70
411;Andalgalá;70
412;Chaquiago;70
413;Choya;70
414;El Alamito;70
415;El Lindero;70
416;El Potrero;70
417;La Aguada;70
418;Antofagasta de la Sierra;71
419;Antofalla;71
420;El Peñón;71
421;Los Nacimientos;71
422;Barranca Larga;72
423;Belén;72
424;Cóndor Huasi;72
425;Corral Quemado;72
426;El Durazno;72
427;Farallón Negro;72
428;Hualfín;72
429;Jacipunco;72
430;La Puntilla;72
431;Las Juntas;72
432;Londres;72
433;Los Nacimientos;72
434;Puerta de Corral Quemado;72
435;Puerta de San José;72
436;Villa Vil;72
437;Adolfo E. Carranza;73
438;Balde de la Punta;73
439;Capayán;73
440;Chumbicha;73
441;Colonia del Valle;73
442;Colonia Nueva Coneta;73
443;Concepción;73
444;Coneta;73
445;El Bañado;73
446;Huillapima;73
447;Los Ángeles;73
448;Miraflores;73
449;San Martín;73
450;San Pablo;73
451;San Pedro;73
452;Catamarca (San Fernando del Valle de Catamarca);74
453;El Pantanillo;74
454;El Alto;75
455;Guayamba;75
456;Infanzón;75
457;Los Corrales;75
458;Tapso;75
459;Vilismán;75
460;Collagasta;76
461;Pomancillo Este;76
462;Pomancillo Oeste;76
463;San José;76
464;Villa Las Pirquitas;76
465;Casa de Piedra;77
466;El Aybal;77
467;El Bañado;77
468;El Divisadero;77
469;El Quimilo;77
470;Esquiú;77
471;Icaño;77
472;La Dorada;77
473;La Guardia;77
474;Las Esquinas;77
475;Las Palmitas;77
476;Quirós;77
477;Ramblones;77
478;Recreo;77
479;San Antonio;77
480;Amadores;78
481;El Rosario;78
482;La Bajada;78
483;La Higuera;78
484;La Merced;78
485;La Viña;78
486;Las Lajas;78
487;Monte Potrero;78
488;Palo Labrado;78
489;San Antonio;78
490;Villa de Balcozna;78
491;Apoyaco;79
492;Colana;79
493;Colpes;79
494;El Pajonal (Est. Pomán);79
495;Joyango;79
496;Mutquín;79
497;Pomán;79
498;Rincón;79
499;San Miguel;79
500;Saujil;79
501;Siján;79
502;Andalhualá;80
503;Caspichango;80
504;Chañar Punco;80
505;El Cajón;80
506;El Desmonte;80
507;El Puesto;80
508;Famatanca;80
509;Fuerte Quemado;80
510;La Hoyada;80
511;La Loma;80
512;Las Mojarras;80
513;Loro Huasi;80
514;Punta de Balasto;80
515;San José;80
516;Santa María;80
517;Yapes;80
518;Alijilán;81
519;Bañado de Ovanta;81
520;Las Cañas;81
521;Lavalle;81
522;Los Altos;81
523;Manantiales;81
524;San Pedro (San Pedro de Guasayán);81
525;Anillaco;82
526;Antinaco;82
527;Banda de Lucero;82
528;Cerro Negro;82
529;Copacabana;82
530;Cordobita;82
531;Costa de Reyes;82
532;El Pueblito;82
533;El Puesto;82
534;El Salado;82
535;Fiambalá;82
536;Los Balverdis;82
537;Medanitos;82
538;Palo Blanco;82
539;Punta del Agua;82
540;Saujil;82
541;Tatón;82
542;Tinogasta;82
543;El Portezuelo;83
544;Huaycama;83
545;Las Tejas;83
546;San Isidro;83
547;Santa Cruz;83
